Вид,Промокод,Операция,Тип,Категория,Дата и время заказа,Месяц,Закупочная стоимость,Скидка в ден. ед.,Скидка в процентах,Сумма,Итоговая сумма
Услуга,,Доход,Безнал,Стрижка старшего мастера,02.05.2021,5,0,0,,5500,5500
Услуга,42gbcz1044846,Доход,Безнал,Обычная стрижка,02.05.2021,5,0,525,"0,15",3500,2975
Услуга,,Доход,Безнал,Стрижка старшего мастера,02.05.2021,5,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа геля,02.05.2021,5,150,0,,300,300
Товар,,Расход,Безнал,Прочие расходы,02.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка и укладка,02.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,02.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Наличные,Стрижка и укладка,02.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,02.05.2021,5,0,0,,5500,5500
Услуга,42gbcz926798,Доход,Безнал,Обычная стрижка,02.05.2021,5,0,525,"0,15",3500,2975
Услуга,,Доход,Наличные,Обычная стрижка,02.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,02.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,02.05.2021,5,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа геля,02.05.2021,5,150,0,,300,300
Товар,,Расход,Безнал,Прочие расходы,02.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка старшего мастера,03.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,03.05.2021,5,0,0,,4500,4500
Товар,,Расход,Наличные,Прочие расходы,03.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Обычная стрижка,03.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,03.05.2021,5,0,0,,3500,3500
Товар,,Расход,Безнал,Прочие расходы,03.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка старшего мастера,03.05.2021,5,0,0,,5500,5500
Услуга,42gbcz3340340,Доход,Безнал,Стрижка и укладка,03.05.2021,5,0,675,"0,15",4500,3825
Товар,,Расход,Безнал,Закупка резинок,03.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка и укладка,03.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,03.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,03.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,03.05.2021,5,0,0,,4500,4500
Товар,,Доход,Безнал,Продажа шампуня,03.05.2021,5,250,0,,500,500
Услуга,,Доход,Наличные,Стрижка старшего мастера,03.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,03.05.2021,5,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа шампуня,03.05.2021,5,250,0,,500,500
Товар,,Расход,Безнал,Закупка резинок,03.05.2021,5,250,0,,500,500
Товар,,Доход,Безнал,Продажа геля,03.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка старшего мастера,03.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,03.05.2021,5,0,0,,3500,3500
Товар,,Расход,Наличные,Закупка полотенец,03.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка и укладка,03.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,03.05.2021,5,0,0,,4500,4500
Товар,,Доход,Безнал,Продажа геля,03.05.2021,5,150,0,,300,300
Товар,42gbcz3389430,Доход,Безнал,Продажа геля,03.05.2021,5,150,45,"0,15",300,255
Товар,,Доход,Безнал,Продажа геля,04.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка старшего мастера,04.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,04.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Наличные,Обычная стрижка,04.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Наличные,Стрижка старшего мастера,04.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,04.05.2021,5,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка полотенец,04.05.2021,5,500,0,,1000,1000
Товар,,Расход,Безнал,Закупка резинок,04.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка и укладка,04.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Наличные,Обычная стрижка,04.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,04.05.2021,5,0,0,,5500,5500
Услуга,42gbcz3469079,Доход,Безнал,Стрижка и укладка,04.05.2021,5,0,675,"0,15",4500,3825
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,04.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Наличные,Стрижка и укладка,04.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка и укладка,04.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,04.05.2021,5,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка полотенец,04.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Наличные,Стрижка и укладка,04.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,04.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,04.05.2021,5,0,0,,5500,5500
Товар,,Расход,Безнал,Закупка полотенец,04.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка старшего мастера,04.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,04.05.2021,5,0,0,,4500,4500
Услуга,42gbcz3795303,Доход,Наличные,Стрижка старшего мастера,04.05.2021,5,0,825,"0,15",5500,4675
Услуга,,Доход,Безнал,Стрижка и укладка,04.05.2021,5,0,0,,4500,4500
Товар,,Доход,Безнал,Продажа геля,04.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Обычная стрижка,05.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,05.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,05.05.2021,5,0,0,,4500,4500
Товар,,Расход,Безнал,Прочие расходы,05.05.2021,5,150,0,,300,300
Услуга,,Доход,Наличные,Обычная стрижка,05.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,05.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,05.05.2021,5,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа шампуня,05.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,05.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,05.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,05.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,05.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Наличные,Обычная стрижка,05.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,05.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Наличные,Обычная стрижка,05.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,05.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,05.05.2021,5,0,0,,3500,3500
Товар,,Расход,Наличные,Закупка резинок,05.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка и укладка,05.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,05.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,05.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,05.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,05.05.2021,5,0,0,,4500,4500
Товар,,Расход,Наличные,Закупка резинок,05.05.2021,5,250,0,,500,500
Услуга,42gbcz3011764,Доход,Безнал,Стрижка и укладка,05.05.2021,5,0,675,"0,15",4500,3825
Услуга,,Доход,Безнал,Стрижка старшего мастера,05.05.2021,5,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,06.05.2021,5,500,0,,1000,1000
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,06.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка и укладка,06.05.2021,5,0,0,,4500,4500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,06.05.2021,5,500,0,,1000,1000
Товар,42gbcz2498155,Доход,Безнал,Продажа геля,06.05.2021,5,150,45,"0,15",300,255
Услуга,,Доход,Безнал,Стрижка старшего мастера,06.05.2021,5,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа геля,06.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка и укладка,06.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,06.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,06.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,06.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,06.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,06.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,06.05.2021,5,0,0,,5500,5500
Услуга,42gbcz1438127,Доход,Безнал,Стрижка и укладка,06.05.2021,5,0,675,"0,15",4500,3825
Услуга,,Доход,Наличные,Стрижка старшего мастера,06.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,06.05.2021,5,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа шампуня,06.05.2021,5,250,0,,500,500
Услуга,,Доход,Наличные,Стрижка старшего мастера,06.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,06.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Наличные,Стрижка старшего мастера,06.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Наличные,Обычная стрижка,06.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,06.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,06.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка старшего мастера,06.05.2021,5,0,0,,5500,5500
Услуга,42gbcz3332142,Доход,Безнал,Стрижка старшего мастера,06.05.2021,5,0,825,"0,15",5500,4675
Товар,,Расход,Наличные,Прочие расходы,07.05.2021,5,150,0,,300,300
Товар,42gbcz1135604,Доход,Безнал,Продажа шампуня и кондиционера,07.05.2021,5,500,150,"0,15",1000,850
Услуга,,Доход,Безнал,Обычная стрижка,07.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,07.05.2021,5,0,0,,5500,5500
Товар,,Доход,Наличные,Продажа шампуня,07.05.2021,5,250,0,,500,500
Услуга,,Доход,Наличные,Стрижка и укладка,07.05.2021,5,0,0,,4500,4500
Товар,,Расход,Безнал,Закупка полотенец,07.05.2021,5,500,,,1000,1000
Услуга,,Доход,Безнал,Обычная стрижка,07.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Наличные,Стрижка и укладка,07.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,07.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,07.05.2021,5,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,07.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Наличные,Стрижка старшего мастера,07.05.2021,5,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня,07.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,07.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,07.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Наличные,Обычная стрижка,07.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,07.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,07.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,07.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,07.05.2021,5,0,0,,3500,3500
Товар,,Расход,Безнал,Прочие расходы,07.05.2021,5,150,,,300,300
Товар,,Доход,Безнал,Продажа шампуня,07.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,07.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,07.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,07.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка старшего мастера,08.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,08.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,08.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,08.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,08.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,08.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,08.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,08.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,08.05.2021,5,0,0,,4500,4500
Товар,,Расход,Безнал,Прочие расходы,08.05.2021,5,150,0,,300,300
Товар,,Расход,Наличные,Закупка резинок,08.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка и укладка,08.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка старшего мастера,08.05.2021,5,0,0,,5500,5500
Услуга,42gbcz100626,Доход,Безнал,Стрижка и укладка,08.05.2021,5,0,675,"0,15",4500,3825
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,08.05.2021,5,500,0,,1000,1000
Товар,,Доход,Наличные,Продажа геля,08.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка и укладка,08.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,08.05.2021,5,0,0,,4500,4500
Товар,,Доход,Наличные,Продажа шампуня,08.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,08.05.2021,5,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,08.05.2021,5,500,0,,1000,1000
Товар,,Расход,Безнал,Закупка резинок,08.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка и укладка,08.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка и укладка,08.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка и укладка,08.05.2021,5,0,0,,4500,4500
Товар,,Доход,Безнал,Продажа шампуня,08.05.2021,5,250,0,,500,500
Товар,,Расход,Наличные,Закупка полотенец,09.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка старшего мастера,09.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,09.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Наличные,Стрижка и укладка,09.05.2021,5,0,0,,4500,4500
Товар,,Доход,Наличные,Продажа шампуня,09.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка старшего мастера,09.05.2021,5,0,0,,5500,5500
Товар,,Расход,Безнал,Закупка полотенец,09.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Наличные,Стрижка старшего мастера,09.05.2021,5,0,0,,5500,5500
Услуга,42gbcz1598194,Доход,Безнал,Стрижка и укладка,09.05.2021,5,0,675,"0,15",4500,3825
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,09.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка и укладка,09.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Наличные,Обычная стрижка,09.05.2021,5,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка резинок,09.05.2021,5,250,0,,500,500
Услуга,,Доход,Наличные,Обычная стрижка,09.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,09.05.2021,5,0,0,,4500,4500
Товар,42gbcz1806957,Доход,Безнал,Продажа шампуня,09.05.2021,5,250,75,"0,15",500,425
Услуга,,Доход,Безнал,Стрижка старшего мастера,09.05.2021,5,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа геля,09.05.2021,5,150,0,,300,300
Услуга,42gbcz2241778,Доход,Наличные,Обычная стрижка,09.05.2021,5,0,525,"0,15",3500,2975
Услуга,,Доход,Наличные,Обычная стрижка,09.05.2021,5,0,0,,3500,3500
Услуга,42gbcz1855642,Доход,Безнал,Обычная стрижка,09.05.2021,5,0,525,"0,15",3500,2975
Услуга,42gbcz3653421,Доход,Безнал,Стрижка старшего мастера,09.05.2021,5,0,825,"0,15",5500,4675
Услуга,,Доход,Безнал,Обычная стрижка,09.05.2021,5,0,0,,3500,3500
Услуга,42gbcz1900914,Доход,Безнал,Стрижка и укладка,09.05.2021,5,0,675,"0,15",4500,3825
Товар,,Расход,Безнал,Прочие расходы,09.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Обычная стрижка,09.05.2021,5,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа геля,10.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Обычная стрижка,10.05.2021,5,0,0,,3500,3500
Услуга,42gbcz2210653,Доход,Наличные,Стрижка и укладка,10.05.2021,5,0,675,"0,15",4500,3825
Услуга,,Доход,Безнал,Стрижка и укладка,10.05.2021,5,0,0,,4500,4500
Товар,,Расход,Безнал,Закупка полотенец,10.05.2021,5,500,,,1000,1000
Товар,,Доход,Безнал,Продажа геля,10.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Обычная стрижка,10.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,10.05.2021,5,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка резинок,10.05.2021,5,250,0,,500,500
Услуга,42gbcz620728,Доход,Наличные,Стрижка и укладка,10.05.2021,5,0,675,"0,15",4500,3825
Услуга,,Доход,Безнал,Стрижка старшего мастера,10.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,10.05.2021,5,0,0,,5500,5500
Товар,,Доход,Наличные,Продажа шампуня и кондиционера,10.05.2021,5,500,0,,1000,1000
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,10.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Наличные,Стрижка и укладка,10.05.2021,5,0,0,,4500,4500
Услуга,42gbcz2997451,Доход,Безнал,Стрижка и укладка,10.05.2021,5,0,675,"0,15",4500,3825
Товар,,Доход,Наличные,Продажа геля,10.05.2021,5,150,0,,300,300
Товар,,Расход,Безнал,Закупка полотенец,10.05.2021,5,500,,,1000,1000
Услуга,,Доход,Наличные,Стрижка и укладка,10.05.2021,5,0,0,,4500,4500
Услуга,42gbcz322269,Доход,Безнал,Обычная стрижка,10.05.2021,5,0,525,"0,15",3500,2975
Услуга,,Доход,Безнал,Стрижка и укладка,10.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,10.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,10.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,10.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,10.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,10.05.2021,5,0,0,,5500,5500
Товар,,Расход,Безнал,Закупка резинок,11.05.2021,5,250,0,,500,500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,11.05.2021,5,500,0,,1000,1000
Услуга,42gbcz2909384,Доход,Наличные,Стрижка старшего мастера,11.05.2021,5,0,825,"0,15",5500,4675
Товар,,Расход,Безнал,Закупка полотенец,11.05.2021,5,500,0,,1000,1000
Услуга,42gbcz2137010,Доход,Безнал,Стрижка и укладка,11.05.2021,5,0,675,"0,15",4500,3825
Товар,,Расход,Наличные,Прочие расходы,11.05.2021,5,150,,,300,300
Товар,,Расход,Безнал,Закупка резинок,11.05.2021,5,250,,,500,500
Услуга,,Доход,Безнал,Стрижка и укладка,11.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка и укладка,11.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка старшего мастера,11.05.2021,5,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,11.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка и укладка,11.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,11.05.2021,5,0,0,,3500,3500
Товар,,Доход,Наличные,Продажа шампуня,11.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка и укладка,11.05.2021,5,0,0,,4500,4500
Услуга,42gbcz3674916,Доход,Безнал,Стрижка старшего мастера,11.05.2021,5,0,825,"0,15",5500,4675
Товар,,Доход,Безнал,Продажа шампуня,11.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка старшего мастера,11.05.2021,5,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,11.05.2021,5,500,0,,1000,1000
Услуга,42gbcz1055518,Доход,Безнал,Стрижка старшего мастера,11.05.2021,5,0,825,"0,15",5500,4675
Услуга,,Доход,Безнал,Стрижка и укладка,11.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,11.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,11.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,11.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,11.05.2021,5,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня,11.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,12.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,12.05.2021,5,0,0,,5500,5500
Услуга,,Расход,Безнал,Рекламный бюджет,12.05.2021,5,0,0,,50000,50000
Услуга,,Доход,Безнал,Обычная стрижка,12.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,12.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,12.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Наличные,Стрижка старшего мастера,12.05.2021,5,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня,12.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка и укладка,12.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,12.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,12.05.2021,5,0,0,,5500,5500
Услуга,42gbcz2972594,Доход,Безнал,Обычная стрижка,12.05.2021,5,0,525,"0,15",3500,2975
Услуга,,Доход,Безнал,Стрижка старшего мастера,12.05.2021,5,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа геля,12.05.2021,5,150,0,,300,300
Услуга,42gbcz2656723,Доход,Безнал,Стрижка и укладка,12.05.2021,5,0,675,"0,15",4500,3825
Товар,,Расход,Безнал,Прочие расходы,12.05.2021,5,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка старшего мастера,12.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,12.05.2021,5,0,0,,3500,3500
